 %%%%%%%%%%   %%%% 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%    %%%  
 %%%%%%%%%    %%%  
 %%%%%%%%%    %%%  
 %%%%%%%%%    %%%  
%%%%%%%%%%    %%% %
%%%%%%%%%     %%% %
%%%%%%%%%     %%% %
%%%%%%%%%     %%%%%
%%%%%%%%%    %%%%%%
%%%%%%%%%     %%%%%
 %%%%%%%%%%   %%%. 
 %%%%%%%%%%   %%%. 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%    %%%  
 %%%%%%%%%    %%%  
 %%%%%%%%%    %%%  
%%%%%%%%%%    %%% %
%%%%%%%%%     %%% %
%%%%%%%%%     %%% %
%%%%%%%%%     %%%%%
%%%%%%%%%    %%%%%%
%%%%%%%%%    %%%%%%
 %%%%%%%%%%   %%%. 
 %%%%%%%%%%   %%%. 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%    %%%  
 %%%%%%%%%    %%%  
%%%%%%%%%%    %%% %
%%%%%%%%%     %%% %
%%%%%%%%%     %%% %
%%%%%%%%%     %%%%%
%%%%%%%%%    %%%%%%
%%%%%%%%%    %%%%%%
 %%%%%%%%%%   %%%. 
 %%%%%%%%%%   %%%% 
 %%%%%%%%%%   %%%% 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%    %%%  
 %%%%%%%%%    %%%  
%%%%%%%%%%    %%% %
%%%%%%%%%%    %%% %
%%%%%%%%%     %%% %
%%%%%%%%%     %%%%%
%%%%%%%%%    %%%%%%
%%%%%%%%%    %%%%%%
.%%%%%%%%%%   %%%%.
 %%%%%%%%%%   %%%% 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
%%%%%%%%%%%   %%% %
%%%%%%%%%%%   %%%%%
%%%%%%%%%%    %%%%%
%%%%%%%%%     %%%%%
%%%%%%%%%     %%%%%
%%%%%%%%%    %%%%%%
%%%%%%%%%    %%%%%%
.%%%%%%%%%%%  %%%%.
 %%%%%%%%%%%  %%%% 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
%%%%%%%%%%%   %%% %
%%%%%%%%%%%   %%% %
%%%%%%%%%%%   %%%%%
%%%%%%%%%%    %%%%%
%%%%%%%%%     %%%%%
%%%%%%%%%     %%%%%
%%%%%%%%%    %%%%%%
%%%%%%%%%    %%%%%%
.%%%%%%%%%%%  %%% .
 %%%%%%%%%%%  %%%% 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
%%%%%%%%%%%   %%% %
%%%%%%%%%%%   %%%%%
%%%%%%%%%%%   %%%%%
%%%%%%%%%%    %%%%%
%%%%%%%%%     %%%%%
%%%%%%%%%     %%%%%
%%%%%%%%%    %%%%%%
%%%%%%%%%   %%%%%%%
 %%%%%%%%%%%  %%%% 
 %%%%%%%%%%%  %%%% 
 %%%%%%%%%%   %%%  
 %%%%%%%%%%   %%%  
%%%%%%%%%%%   %%% %
%%%%%%%%%%%   %%% %
%%%%%%%%%%%  P%%%%%
%%%%%%%%%%%   %%%%%
%%%%%%%%%%    %%%%%
%%%%%%%%%     %%%%%
